1.1,1.1,0,31686.22
0.1,0.1,0,33412.26
0.1,1.1,0,32518.31
0.1,2.1,0,31763.1
1.1,0.1,0,32518.31
1.1,2.1,0,30813.13
2.1,0.1,0,31763.1
2.1,1.1,0,30813.13
2.1,2.1,0,29981
0.1,3.1,0,30963.34
1.1,3.1,0,30077.47
2.1,3.1,0,29181.65
3.1,0.1,0,30963.34
3.1,1.1,0,30077.46
3.1,2.1,0,29181.65
3.1,3.1,0,28247.99
0.1,4.1,0,30264.47
1.1,4.1,0,29209.82
2.1,4.1,0,28255.47
3.1,4.1,0,27487.86
4.1,0.1,0,30264.47
4.1,1.1,0,29209.82
4.1,2.1,0,28255.47
4.1,3.1,0,27487.86
4.1,4.1,0,26628.19
0.1,5.1,0,29495.21
1.1,5.1,0,28556.72
2.1,5.1,0,27611.73
3.1,5.1,0,26721.32
4.1,5.1,0,25948.61
5.1,0.1,0,29495.21
5.1,1.1,0,28556.72
5.1,2.1,0,27611.73
5.1,3.1,0,26721.32
5.1,4.1,0,25948.6
5.1,5.1,0,25059.14
0.1,6.1,0,28923.8
1.1,6.1,0,27909.38
2.1,6.1,0,26984.37
3.1,6.1,0,26025.44
4.1,6.1,0,25211.89
5.1,6.1,0,24433.87
6.1,0.1,0,28923.8
6.1,1.1,0,27909.38
6.1,2.1,0,26984.37
6.1,3.1,0,26025.44
6.1,4.1,0,25211.9
6.1,5.1,0,24433.86
6.1,6.1,0,23676.96
0.1,7.1,0,28372.17
1.1,7.1,0,27331.17
2.1,7.1,0,26311.85
3.1,7.1,0,25405.67
4.1,7.1,0,24529.61
5.1,7.1,0,23669.43
6.1,7.1,0,22965.24
7.1,0.1,0,28372.18
7.1,1.1,0,27331.17
7.1,2.1,0,26311.85
7.1,3.1,0,25405.66
7.1,4.1,0,24529.61
7.1,5.1,0,23669.43
7.1,6.1,0,22965.24
7.1,7.1,0,22262.48
0.1,8.1,0,27715.23
1.1,8.1,0,26655.84
2.1,8.1,0,25744.67
3.1,8.1,0,24803.27
4.1,8.1,0,23885.35
5.1,8.1,0,23092.99
6.1,8.1,0,22291.96
7.1,8.1,0,21659
8.1,0.1,0,27715.23
8.1,1.1,0,26655.83
8.1,2.1,0,25744.67
8.1,3.1,0,24803.27
8.1,4.1,0,23885.34
8.1,5.1,0,23092.99
8.1,6.1,0,22291.96
8.1,7.1,0,21659
8.1,8.1,0,20992.77
0.1,9.1,0,27458.67
1.1,9.1,0,26365.67
2.1,9.1,0,25347.7
3.1,9.1,0,24378.09
4.1,9.1,0,23483.51
5.1,9.1,0,22613.28
6.1,9.1,0,21837.85
7.1,9.1,0,21115.05
8.1,9.1,0,20430.32
9.1,0.1,0,27458.67
